A,b,x,Y
49.13229,40.26611,49.76600,1954.83335
15.81832,90.73581,97.77239,1429.37683
17.13281,77.35145,18.84644,1325.19389
66.06004,32.79999,73.55491,2103.14641
13.64782,96.98694,2.17744,1334.87308
45.77571,45.86892,62.01085,2066.18233
89.98980,30.73771,41.09382,2743.54411
3.99271,83.69773,44.31167,335.47189
94.06900,34.89764,96.78302,3336.39309
14.80787,74.16942,1.40074,1112.88545
85.46055,92.76798,26.22662,8003.92629
65.55267,73.19570,29.29752,4742.20650
32.10733,87.57372,14.77843,2837.48685
59.97505,97.70523,65.89364,5864.65695
63.72702,44.23236,53.47067,2814.74638
87.36596,59.14633,58.04833,5254.52064
54.86927,95.68593,71.42821,5290.64858
89.21112,24.63859,75.70513,2224.98847
66.06205,28.49412,13.67354,1941.46826
54.59609,36.99249,11.69926,1978.01792
27.55775,35.73344,90.69569,995.73078
41.01495,54.88110,74.86534,2230.10900
95.49698,95.17643,12.13920,9049.49747
50.99202,81.67449,58.72922,4206.54970
3.98196,52.90746,51.10044,213.62726
11.46783,60.92950,97.10267,701.97188
99.15096,87.71888,30.62901,8627.19432
64.91671,53.77444,2.10843,3546.61858
24.05120,46.04652,36.55253,1085.55465
71.09434,21.35150,71.22440,1579.00095
65.81667,71.15024,92.11822,4627.06549
31.49646,91.68891,4.09207,2862.24751
22.43140,99.90550,65.94086,2241.75125
41.66982,67.33685,12.75118,2813.57123
65.79549,10.59152,86.16117,632.85119
40.48220,29.32442,64.91707,1222.36011
1.02624,58.70267,79.02398,59.76535
19.32365,52.62832,15.45841,1021.74397
19.72275,11.47641,85.67198,211.54233
41.77202,19.85507,71.57208,855.79992
78.25166,9.63411,69.09350,752.19964
89.35024,74.31267,79.33253,6576.21399
61.72922,77.55361,77.11178,4848.42556
87.61360,37.68641,20.21339,3387.58636
7.30364,82.27176,9.33325,601.55128
30.85415,64.76557,3.04195,2001.35554
28.55803,62.06648,14.03206,1800.89698
19.05977,65.49058,64.58803,1266.96883
23.91437,77.56678,51.71899,1878.71044
29.53091,93.38576,35.82950,2729.54453
54.43018,52.59274,32.50922,2910.97451
87.00840,99.55825,99.64610,8595.07479
89.19283,98.42132,36.43000,8693.31132
57.85499,13.77332,49.37841,752.00419
55.84855,5.68914,30.96641,293.46211
86.05107,84.60682,80.88095,7218.75047
96.57381,61.90158,32.38301,6057.57455
90.04911,74.75077,69.76737,6785.90403
57.67367,97.44745,11.56181,5571.48011
61.53611,86.32925,45.06741,5366.78619
57.22133,70.09738,36.00638,3954.26913
22.64219,92.58170,52.92710,2106.70785
57.52959,70.33308,59.44931,4059.96104
79.34240,70.79252,50.33822,5622.61493
85.27868,87.90585,84.27475,7540.94205
15.40852,68.08836,91.07857,1049.56627
22.78601,83.59773,40.52536,1911.92586
9.45026,42.08078,45.55333,407.12470
96.83595,94.13875,94.39985,9130.68454
65.34664,30.13423,93.13011,1910.41904
2.49947,94.77616,29.38075,234.65561
41.49142,96.19415,88.33403,4006.21442
42.15849,89.86180,41.45444,3764.15746
58.28651,89.10787,40.92769,5188.72341
76.86528,25.74940,79.27149,1927.88007
40.02031,80.99723,97.06658,3254.22897
11.76986,71.13596,21.23287,845.35420
52.11779,68.53633,31.20678,3561.14102
79.28394,9.98635,28.66792,761.35176
57.54954,14.88697,52.23966,909.66900
57.88995,51.48169,64.30555,3037.88970
97.63154,89.78326,69.42191,8795.16996
95.28363,99.80773,90.75298,9543.00280
8.81095,40.14785,11.14554,345.02884
18.96410,64.80193,11.61373,1213.45562
79.25823,67.20815,42.32264,5247.85378
51.16641,5.72398,90.12636,335.36425
15.64697,88.33885,17.45081,1366.81951
19.80096,61.89300,71.48262,1239.38196
13.17135,93.61688,57.42557,1243.18657
32.31537,82.91440,75.44832,2681.02778
23.94144,68.39174,54.56883,1615.43068
95.69730,26.77210,99.69346,2490.91688
41.72076,93.49493,36.68530,3865.26458
12.93178,81.64794,69.93440,1065.30294
15.76078,19.53456,14.99003,318.24789
98.01158,26.93487,45.00415,2723.54088
88.62886,37.10352,89.93266,3370.16981
62.36400,85.22799,5.37555,5266.01254
98.04211,90.33675,31.47757,8862.84598
50.87276,43.94959,15.15774,2262.43739
96.30726,13.88631,87.61717,1304.56185
60.33063,8.00780,67.46439,422.97748
62.99586,8.09739,86.65856,449.30113
21.16064,76.80347,29.46327,1605.57427
70.16005,84.97242,52.64388,6010.16589
5.27847,22.81487,19.23398,122.40705
65.50549,44.19464,89.64925,2960.07303
2.07409,18.07644,95.76630,39.56339
84.66323,79.46116,52.12866,6808.50890
16.78739,47.46850,51.69198,813.48534
16.01566,34.84638,47.38039,554.02481
45.44197,9.93600,74.50457,416.09557
49.99733,83.11933,51.76156,4205.60224
6.93991,93.73722,73.12596,645.22654
23.18614,36.83421,29.12823,836.56419
93.00636,93.72430,49.07310,8630.52982
71.53808,3.15420,46.10381,286.60674
80.66649,48.46597,78.34971,3924.82255
22.62902,65.00274,63.14564,1477.93309
34.82167,7.40613,35.76496,225.34587
53.31017,51.33014,22.68113,2702.48561
5.24083,93.56539,18.81893,490.20017
37.82146,80.66767,36.44016,3014.97212
23.81242,57.17201,30.30869,1340.10477
65.57784,54.01365,91.61635,3510.07577
45.27340,31.23741,33.70325,1448.36412
48.80536,6.32421,63.84352,350.02866
83.82127,60.89670,18.25292,5057.34264
