A,b,x,Y
84.22325,88.45568,11.61801,7381.59598
70.92157,41.25696,46.83639,2946.11853
35.58620,59.05208,10.65853,2067.85493
39.44781,51.97896,44.73152,2077.32316
58.04783,75.43099,87.47118,4351.11198
43.67568,22.84286,59.38459,1010.82104
64.95454,22.26776,62.69237,1437.36171
6.65721,46.68798,17.65921,304.63053
27.42112,16.91091,45.16720,489.12093
73.60792,38.18412,69.74815,2854.20413
14.69152,57.09970,13.61946,851.64779
96.06094,9.71213,75.93830,982.35149
25.31940,9.43583,55.64790,219.06409
1.77501,92.54877,65.64667,164.84514
99.93137,94.50057,46.21565,9522.35933
32.23150,38.28685,90.46443,1253.33634
35.37555,21.14082,97.97990,728.17096
77.70085,66.36248,40.49247,5182.93565
40.30461,52.84977,44.13128,2136.07200
79.88337,32.85247,23.68795,2545.11600
56.99943,90.06410,1.06862,5183.56456
3.20476,86.76103,50.83328,279.77131
12.71414,78.09245,29.48986,980.95809
99.86591,3.91150,17.17963,291.24953
92.01540,55.12353,56.94680,5107.88803
41.39186,8.01299,75.61756,340.67855
66.45775,33.23800,56.66039,2216.33235
75.30654,33.97032,45.32803,2631.59459
67.42128,95.74804,87.05241,6402.13601
15.62000,16.98438,49.56606,255.24007
37.79784,24.06723,42.76025,874.16671
94.78688,17.64609,33.90827,1729.92505
36.90552,78.51416,74.81632,2877.32158
69.97994,1.60450,48.80853,42.75602
61.77366,69.13491,94.88697,4307.56738
10.44336,78.93010,26.57038,834.64634
96.52231,79.90247,93.21840,7629.65291
80.11216,68.04185,10.66109,5375.30750
37.78090,70.39148,94.84301,2680.63723
79.74187,91.56882,49.85759,7270.23694
11.49652,46.61436,69.18248,536.67790
57.67234,97.90362,47.43028,5628.93565
31.95911,22.03251,85.50350,684.03159
75.58373,40.14643,35.53722,2971.65723
99.31841,71.42438,11.69000,7017.43771
32.79871,42.99340,17.35146,1377.41587
1.97677,5.21854,62.29505,9.30493
22.84395,44.84580,79.09520,1012.41015
90.12455,35.86366,20.99231,3307.97640
5.18418,94.24763,68.48831,485.55604
81.41802,4.41362,77.51630,428.87476
35.10763,99.34416,35.30779,3463.80081
36.98625,55.71262,72.32541,2058.05920
12.10061,8.90343,87.88977,106.83230
88.19973,66.46307,56.42793,5851.40184
72.00469,61.02636,24.25746,4338.90477
18.72053,34.28527,93.43914,628.29682
3.52916,62.43721,99.41420,217.17953
97.68516,38.83240,73.49631,3700.97041
99.79914,22.63061,97.22447,2274.89767
62.12153,48.14203,49.55497,2950.13971
54.67771,64.27799,62.00268,3474.25514
42.74474,18.48705,43.41177,767.13889
32.89272,86.84886,49.10617,2826.54775
66.58841,46.80111,82.12793,3145.16658
29.24542,36.41464,74.19216,1037.63967
4.26183,44.12979,16.55153,184.88987
94.05994,28.01839,75.36814,2632.57892
2.67586,3.30278,45.68714,11.48962
13.47186,52.29477,77.70004,714.53763
53.16915,40.90433,67.23200,2124.25004
99.77012,93.27019,31.61969,9325.76782
4.31395,1.41072,96.94182,7.95269
55.54256,25.19860,43.10999,1357.05928
68.94420,77.64479,98.63492,5287.82812
4.31742,53.56512,56.23927,229.94871
44.53576,37.37867,33.21513,1708.06672
86.60203,21.38150,9.24165,1867.45243
68.59170,26.83217,96.85415,1875.44849
90.06488,7.40709,20.48677,756.98507
15.39668,1.05532,70.44784,31.21107
98.83858,37.75628,85.69884,3655.86133
9.73522,26.84057,72.66706,257.41452
58.11326,61.01729,19.49484,3580.86464
85.34938,18.28496,9.15143,1583.65076
61.55532,60.88011,61.34114,3686.13642
49.70530,26.39673,59.42972,1324.86167
99.37282,98.02040,7.30327,9825.24425
74.87241,32.21867,21.04707,2472.93299
73.54473,80.26920,10.80115,5831.21783
10.69608,23.45229,32.50930,260.34754
67.45556,36.64052,2.63322,2504.44114
74.09264,91.72235,3.21604,6790.44054
38.40978,3.94378,71.70048,171.75693
63.87679,95.55954,72.80216,6070.89346
19.37179,40.73504,49.45482,775.07093
54.20596,70.98373,80.56851,3799.11940
78.64500,54.50489,44.79057,4343.40497
89.09662,37.88759,54.71120,3289.70897
68.91969,11.70732,73.27560,748.17467
20.01477,25.75387,83.86381,531.84460
65.92066,6.86742,69.51044,478.09592
2.49527,7.72944,34.37643,19.73645
88.17353,12.14754,82.32323,1123.87712
92.95897,33.64105,23.31213,3037.16460
18.09028,63.04472,6.03508,1136.05456
53.56108,10.12997,84.57308,555.81945
88.26895,86.21940,30.61937,7547.38769
58.54719,74.03264,4.52917,4276.83604
12.75815,73.62669,64.42482,952.09508
46.36445,58.66095,14.40830,2764.45356
